SERVICEREQUESTID,SERVICEPRIORITY,SERVICECODE,SERVICECODEDESCRIPTION,SERVICETYPECODE,SERVICETYPECODEDESCRIPTION,SERVICEORDERDATE,SERVICEORDERSTATUS,SERVICECALLCOUNT,AGENCYABBREVIATION,INSPECTIONFLAG,INSPECTIONDATE,RESOLUTION,RESOLUTIONDATE,SERVICEDUEDATE,SERVICENOTES,PARENTSERVICEREQUESTID,ADDDATE,LASTMODIFIEDDATE,SITEADDRESS,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,SERVICESOURCECODE
14-00029168,UNKNOWN,RPP,Residential Parking Permit Violation,PARKENFO,Parking Enforcement,2/7/2014 10:00:00 AM,CLOSED,1,DPW,Y,2/7/2014 12:03:00 PM,Not Enforceable - Close SR,2/7/2014 12:03:22 PM,2/11/2014 10:00:00 AM,no violation @ 1144am  by 282,,2/7/2014 10:00:00 AM,7/17/2014 8:00:00 AM,4200 - 4299 BLOCK 7TH STREET NW,38.94251555777050,-77.02164728515690,,0,476866,410227,4,4C,4C07,FOURTH,407,18,NONE,NONE,NONE,PHONE
14-00029169,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 10:00:01 AM,CLOSED,1,DPW,Y,2/7/2014 11:17:00 AM,Ticket Issued - Close SR,2/7/2014 11:19:01 AM,2/11/2014 10:00:01 AM,1 ticket was issued @ 1105am  by 169812428279,,2/7/2014 10:00:01 AM,7/17/2014 8:00:00 AM,1469 HARVARD STREET NW,38.92653936692070,-77.03482683213130,20009,234354,77671,77671,1,1A,1A03,THIRD,302,2,NONE,NONE,NONE,PHONE
14-00029170,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/7/2014 10:00:15 AM,CLOSED,1,DDOT,N,2/25/2014 12:02:35 PM,UNKNOWN,2/25/2014 11:57:55 AM,,"Comments update:  14-00029170-Need a car seat for a child 4.5 years old By GAY, KAREN: 2/25/2014 11:57:42 AM Installed a Britax seat with high weight harness ",,2/7/2014 10:00:15 AM,2/25/2014 12:36:13 PM,5350 43RD STREET NW,38.96044297757670,-77.08404407943840,20015,265956,108490,108490,3,3E,3E04,SECOND,202,11,NONE,NONE,NONE,WEB
14-00029171,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:00:28 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 12:56:20 PM,3/4/2014 10:00:28 AM,,,2/7/2014 10:00:28 AM,9/9/2014 2:45:51 PM,867 BARNABY STREET SE,38.83093580965430,-76.99221712822870,20032,278728,120794,120794,8,8E,8E07,SEVENTH,706,39,NONE,NONE,NONE,PHONE
14-00029172,UNKNOWN,RPP,Residential Parking Permit Violation,PARKENFO,Parking Enforcement,2/7/2014 10:01:56 AM,CLOSED,1,DPW,Y,2/7/2014 3:47:00 PM,Not Enforceable - Close SR,2/7/2014 3:48:17 PM,2/11/2014 10:01:56 AM,NO VIOLATION @ 3:43PM,,2/7/2014 10:01:56 AM,2/7/2014 4:05:13 PM,722 F STREET NE,38.89753067604890,-76.99534081158150,20002,77809,50831,50831,6,6C,6C06,FIRST,104,25,NONE,NONE,NONE,PHONE
14-00029173,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:02:31 AM,CLOSED,1,DDOT,N,2/11/2014 3:52:23 PM,UNKNOWN,2/11/2014 3:48:27 PM,2/14/2014 10:02:31 AM,Comments update:  14-00029173-Broken Parking Meter  Meter Found Working,,2/7/2014 10:02:31 AM,2/12/2014 10:07:21 AM,400 - 499 BLOCK H STREET NW,38.89979358456090,-77.01756767714610,,0,455591,391619,2,6C,6C09,FIRST,102,8,NONE,NONE,NONE,OPEN311
14-00029174,UNKNOWN,S0000,Abandoned Vehicle - On Public Property,ABAVEHOP,Abandoned Vehicle Operations - Public,2/7/2014 10:02:42 AM,CLOSED,1,DPW,Y,2/14/2014 11:28:00 AM,Vehicle Gone on Arrival - Close SR,2/14/2014 11:29:20 AM,2/28/2014 10:02:42 AM,PER AVI M.SILVER THIS VEHICLE WAS GOA FROM THIS LOCATION ON 2/10/14....MP,,2/7/2014 10:02:42 AM,2/14/2014 12:07:26 PM,1110 RAUM STREET NE,38.90937946387270,-76.98630720244840,20002,74090,47695,47695,5,5B,5B05,FIFTH,506,23,NONE,NONE,NONE,PHONE
14-00029175,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/7/2014 10:03:05 AM,CLOSED,1,DDOT,N,2/25/2014 11:56:34 AM,UNKNOWN,2/25/2014 11:52:00 AM,,"Comments update:  14-00029175-Need a car seat for unborn child By GAY, KAREN: 2/25/2014 11:51:57 AM Installed infant seat ",,2/7/2014 10:03:05 AM,2/25/2014 12:07:25 PM,2801 CONNECTICUT AVENUE NW,38.92696376239050,-77.05320704638050,20008,223257,66271,66271,3,3C,3C01,SECOND,204,15,NONE,NONE,NONE,WEB
14-00029176,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/7/2014 10:03:08 AM,CLOSED,1,DMV,N,2/8/2014 2:30:00 PM,Mailed - Close SR,2/8/2014 2:30:59 PM,2/19/2014 8:03:08 PM,mailed out replacement.,,2/7/2014 10:03:08 AM,2/8/2014 3:05:06 PM,911 V STREET NW,38.91829681438860,-77.02509789531010,20001,285461,123989,123989,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,PHONE
14-00029177,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/7/2014 10:03:09 AM,CLOSED,1,DMV,N,2/8/2014 2:31:00 PM,Mailed - Close SR,2/8/2014 2:31:57 PM,2/19/2014 8:03:09 PM,mailed out replacement.,,2/7/2014 10:03:09 AM,2/8/2014 3:05:06 PM,600 - 699 BLOCK 12TH STREET NW,38.89782917327750,-77.028084300378,,0,455530,391558,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,WEB
14-00029178,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:04:33 AM,CLOSED,1,DPW,N,,UNKNOWN,2/20/2014 9:08:48 AM,3/4/2014 10:04:33 AM,,,2/7/2014 10:04:33 AM,2/20/2014 9:37:26 AM,3341 RESERVOIR ROAD NW,38.91286930073390,-77.06740794215450,20007,273419,116555,116555,2,2E,2E02,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029179,UNKNOWN,DMV19,DMV - Vehicle Registration Issues,DRIVEHSE,Driver Vehicle Services,2/7/2014 10:04:38 AM,CLOSED,1,DMV,N,2/8/2014 2:32:00 PM,Mailed - Close SR,2/8/2014 2:33:16 PM,2/19/2014 8:04:38 PM,mailed out replacement.,,2/7/2014 10:04:38 AM,3/3/2014 12:21:10 PM,3581 WARDER STREET NW,38.934800983933,-77.02078555799650,20010,228643,71960,71960,1,1A,1A08,FOURTH,409,2,NONE,NONE,NONE,PHONE
14-00029180,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 10:05:04 AM,CLOSED,1,DPW,Y,2/7/2014 12:01:00 PM,Not Enforceable - Close SR,2/7/2014 12:01:57 PM,2/11/2014 10:05:04 AM,no violation @   by 283,,2/7/2014 10:05:04 AM,7/17/2014 8:00:00 AM,1100 NEW JERSEY AVENUE SE,38.87695160161340,-77.00394217520130,20003,285822,124352,124352,6,6D,6D07,FIRST,106,27,NONE,NONE,NONE,PHONE
14-00029181,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:05:22 AM,CLOSED,1,DPW,N,,UNKNOWN,2/18/2014 10:28:12 AM,3/4/2014 10:05:22 AM,,,2/7/2014 10:05:22 AM,9/9/2014 2:45:51 PM,2217 QUINCY STREET NE,38.937047891701,-76.97329156039990,20018,50116,20253,20253,5,5A,5A09,FIFTH,503,24,NONE,NONE,NONE,PHONE
14-00029182,UNKNOWN,S0301,Pothole,STRBRIMA,Street & Bridge Maintenance,2/7/2014 10:05:56 AM,CLOSED,1,DDOT,N,2/10/2014 12:26:17 PM,UNKNOWN,2/10/2014 12:26:20 PM,2/12/2014 10:05:56 AM,"POTHOLE STREET REPAIR ( WO # 405568 )Projected Start:  FEB 07, 2014    Finish: FEB 09, 2014   Actual Start:  N/A    Finish: FEB 10, 2014",,2/7/2014 10:05:56 AM,2/10/2014 3:06:03 PM,1634 MONROE STREET NW,38.93293238417970,-77.037729481283,20010,233581,76260,76260,1,1D,1D04,FOURTH,408,2,NONE,NONE,NONE,PHONE
14-00029183,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/7/2014 10:06:06 AM,CLOSED,1,DDOT,N,2/25/2014 11:56:34 AM,UNKNOWN,2/25/2014 11:53:35 AM,,"Comments update:  14-00029183-Need a car seat for unborn child By GAY, KAREN: 2/25/2014 11:53:32 AM Installed car seat for infant with a base ",,2/7/2014 10:06:06 AM,2/25/2014 12:07:25 PM,2801 CONNECTICUT AVENUE NW,38.92696376239050,-77.05320704638050,20008,223257,66271,66271,3,3C,3C01,SECOND,204,15,NONE,NONE,NONE,WEB
14-00029184,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 10:06:16 AM,CLOSED,1,DPW,Y,2/7/2014 12:00:00 PM,Not Enforceable - Close SR,2/7/2014 12:00:47 PM,2/11/2014 10:06:16 AM,no violation @ 1146am  by 301,,2/7/2014 10:06:16 AM,8/28/2014 5:28:06 PM,1500 KINGMAN PLACE NW,38.91008905962840,-77.03105419671030,20005,225559,68861,68861,2,2F,2F01,THIRD,307,7,NONE,NONE,NONE,PHONE
14-00029185,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:07:19 AM,CLOSED,1,DDOT,N,2/9/2014 7:38:28 PM,UNKNOWN,2/9/2014 7:33:47 PM,2/14/2014 10:07:19 AM,Comments update:  14-00029185-  Meter Found Working,,2/7/2014 10:07:19 AM,2/9/2014 10:08:24 PM,0 - 0 BLOCK PENNSYLVANIA AVENUE SE,38.87595002303970,-76.97617898875050,,0,460427,396104,7,7A,7A07,SIXTH,605,34,NONE,NONE,NONE,PHONE
14-00029186,UNKNOWN,S0441,Trash Collection - Missed,SWMCOLTR,Trash Collection,2/7/2014 10:08:03 AM,OVERDUE CLOSED,1,DPW,N,2/11/2014 1:15:00 PM,Icy Road/Close SR,2/27/2014 1:15:15 PM,2/11/2014 10:08:03 AM,due to snow.  closed by STG,,2/7/2014 10:08:03 AM,2/25/2015 2:04:15 PM,1526 34TH STREET NW,38.90948278874830,-77.06803945318980,20007,275709,117906,117906,2,2E,2E03,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029187,UNKNOWN,S0476,Yard Waste- Missed,COLLDIVI,Yard Waste,2/7/2014 10:08:08 AM,OVERDUE CLOSED,1,DPW,N,2/14/2014 2:01:00 PM,Icy Road/Close SR,3/6/2014 6:09:31 AM,2/14/2014 10:08:08 AM,due to snow.  closed by rg,,2/7/2014 10:08:08 AM,7/29/2014 9:14:49 AM,2014 O STREET NW,38.90838266276540,-77.04570036188670,20036,242872,85805,85805,2,2B,2B06,SECOND,208,6,NONE,NONE,NONE,PHONE
14-00029188,UNKNOWN,S0346,Sanitation Enforcement,SWMSWEEN,Sanitation Enforcement,2/7/2014 10:08:27 AM,CLOSED,1,DPW,Y,2/10/2014 1:15:00 PM,Nothing Found/No Cause for Action - Close SR,2/10/2014 3:45:41 PM,2/14/2014 10:08:27 AM,"Nothing found today, but will continue to monitor.  Several fines have been issued to these locations.",,2/7/2014 10:08:27 AM,2/25/2015 2:04:15 PM,1526 34TH STREET NW,38.90948278874830,-77.06803945318980,20007,275709,117906,117906,2,2E,2E03,SECOND,206,4,NONE,NONE,NONE,PHONE
14-00029189,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:08:31 AM,CLOSED,1,DDOT,N,2/11/2014 1:37:08 PM,UNKNOWN,2/11/2014 1:33:26 PM,2/14/2014 10:08:31 AM,Comments update:  14-00029189-Broken Parking Meter  Meter Found Working,,2/7/2014 10:08:31 AM,2/12/2014 4:06:36 AM,600 - 699 BLOCK VIRGINIA AVENUE SW,38.885319781539,-77.02091297301090,,0,455711,391739,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,OPEN311
14-00029190,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/7/2014 10:08:47 AM,CLOSED,1,DDOT,N,2/25/2014 11:59:34 AM,UNKNOWN,2/25/2014 11:54:52 AM,,"Comments update:  14-00029190-Need a car seat for a 3 month old child By GAY, KAREN: 2/25/2014 11:54:49 AM Installed infant car seat with a base ",,2/7/2014 10:08:47 AM,2/25/2014 12:36:13 PM,3770 W STREET NW,38.918951195870,-77.07577616045740,20007,270774,113610,113610,3,3B,3B05,SECOND,204,14,NONE,NONE,NONE,WEB
14-00029191,UNKNOWN,S0261,Parking Enforcement,PARKENFO,Parking Enforcement,2/7/2014 10:09:49 AM,CLOSED,1,DPW,Y,2/7/2014 12:02:00 PM,Not Enforceable - Close SR,2/7/2014 12:02:28 PM,2/11/2014 10:09:49 AM,no violation @ 1144am  by 282,,2/7/2014 10:09:49 AM,7/17/2014 8:00:00 AM,4226 7TH STREET NW,38.94285849953440,-77.02200497812140,20011,249769,92959,92959,4,4C,4C07,FOURTH,407,18,NONE,NONE,NONE,PHONE
14-00029192,UNKNOWN,S0031,Bulk Collection,SWMCOLBU,Bulk Collection,2/7/2014 10:10:26 AM,CLOSED,1,DPW,N,,UNKNOWN,2/14/2014 1:30:50 PM,3/4/2014 10:10:26 AM,,,2/7/2014 10:10:26 AM,9/9/2014 2:45:51 PM,140 11TH STREET SE,38.88808894993730,-76.99126504811920,20003,65236,40179,40179,6,6B,6B05,FIRST,107,26,NONE,NONE,NONE,PHONE
14-00029193,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:10:27 AM,CLOSED,1,DDOT,N,2/11/2014 12:52:03 PM,UNKNOWN,2/11/2014 12:48:21 PM,2/14/2014 10:10:27 AM,Comments update:  14-00029193-Broken Parking Meter  Meter Found Working,,2/7/2014 10:10:27 AM,2/12/2014 12:38:01 AM,1200 - 1299 BLOCK 24TH STREET NW,38.906252170341,-77.051404500874,,0,455389,391417,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,OPEN311
14-00029194,UNKNOWN,DMVADJSU,DMV - Adjudication Supervisor,ADJUSERV,Adjudication Services,2/7/2014 10:10:39 AM,CLOSED,1,DMV,N,2/10/2014 8:42:00 AM,UNKNOWN,2/10/2014 8:43:12 AM,2/12/2014 10:10:39 AM,"An Appeals Form was mailed out to the address requested, which is the same address we have on record.",,2/7/2014 10:10:39 AM,7/29/2014 9:14:49 AM,400 - 499 BLOCK K STREET NW,38.90252111504180,-77.01755183289420,,0,455042,391070,6,6C,6C01,FIRST,102,8,NONE,NONE,NONE,PHONE
14-00029195,UNKNOWN,S0422,Supercan - Delivery,SWMCOLSU,Supercans,2/7/2014 10:11:12 AM,CLOSED,1,DPW,N,2/10/2014 9:17:00 AM,Complete,2/11/2014 9:22:27 AM,3/10/2014 10:11:12 AM,Delivered 1 supercan dc8330445.,,2/7/2014 10:11:12 AM,4/1/2014 2:16:13 PM,1516 1ST STREET NW,38.91012036405240,-77.01240182956980,20001,238166,80948,80948,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,PHONE
14-00029196,UNKNOWN,DMPRCEMA,DMV - Processing Center Manager,DRIVEHSE,Driver Vehicle Services,2/7/2014 10:12:01 AM,CLOSED,1,DMV,N,2/8/2014 3:21:00 PM,Complete - Close SR,2/8/2014 3:22:38 PM,2/24/2014 8:12:01 PM,customer renewed his reg. on 02-07-2014. both lic and reg. had the same address.,,2/7/2014 10:12:01 AM,2/8/2014 3:35:05 PM,1511 FRANKLIN STREET NE,38.92527270129830,-76.98303128992810,20018,62164,37878,37878,5,5B,5B01,FIFTH,505,22,NONE,NONE,NONE,PHONE
14-00029197,UNKNOWN,CHSASEPR,Child Safety Seat Program,DEPATRAN,DDOT,2/7/2014 10:12:12 AM,CLOSED,1,DDOT,N,2/25/2014 11:29:31 AM,UNKNOWN,2/25/2014 11:24:27 AM,,"Comments update:  14-00029197-Need a car seat for a unborn child By GAY, KAREN: 2/25/2014 11:24:24 AM Car seat was properly installed ",,2/7/2014 10:12:12 AM,2/25/2014 12:07:25 PM,1559 33RD STREET NW,38.91033520859260,-77.06590873994620,20007,272719,115493,115493,2,2E,2E02,SECOND,206,4,NONE,NONE,NONE,WEB
14-00029198,UNKNOWN,S0276,Parking Meter Repair,TRAOP001,TOA,2/7/2014 10:12:14 AM,CLOSED,1,DDOT,N,2/11/2014 11:21:52 AM,UNKNOWN,2/11/2014 11:18:13 AM,2/14/2014 10:12:14 AM,Comments update:  14-00029198-it seems coins are full in meter and meter is reading FAIL.  Meter Found Working,,2/7/2014 10:12:14 AM,2/11/2014 5:39:55 PM,400 - 499 BLOCK I STREET SW,38.87928567512740,-77.01821513541420,,0,457943,393970,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,PHONE
14-00029199,UNKNOWN,S0316,Recycling Cart Delivery,SWMCOLCO,swm- collections-recycling containers,2/7/2014 10:12:59 AM,CLOSED,1,swm- collections-recycling containers,N,2/10/2014 9:16:00 AM,Complete,2/11/2014 9:18:23 AM,3/10/2014 10:12:59 AM,Delivered 1 blue recycling cart T3202315.,,2/7/2014 10:12:59 AM,4/1/2014 2:16:13 PM,1516 1ST STREET NW,38.91012036405240,-77.01240182956980,20001,238166,80948,80948,5,5C,5C01,FIFTH,501,21,NONE,NONE,NONE,PHONE
